,0
Intercept,-3034393.6098776255
C(Manufacturer)[T.AUDI],3756.034365875352
C(Manufacturer)[T.BMW],13104.459819107346
C(Manufacturer)[T.BUICK],1145.6787583536898
C(Manufacturer)[T.CADILLAC],7885.623798306697
C(Manufacturer)[T.CHEVROLET],6307.938583695301
C(Manufacturer)[T.CHRYSLER],13072.394600176776
C(Manufacturer)[T.CITROEN],6524.801865830304
C(Manufacturer)[T.DAEWOO],7969.194070011862
C(Manufacturer)[T.DAIHATSU],64.751806924618
C(Manufacturer)[T.DODGE],2616.5409741260496
C(Manufacturer)[T.FIAT],5411.469820741184
C(Manufacturer)[T.FORD],13426.78344528647
C(Manufacturer)[T.GAZ],128481.03806139025
C(Manufacturer)[T.GMC],6605.445271346654
C(Manufacturer)[T.HONDA],11151.26749010865
C(Manufacturer)[T.HUMMER],-535.1335717577495
C(Manufacturer)[T.HYUNDAI],15158.817617758039
C(Manufacturer)[T.INFINITI],13393.955347523268
C(Manufacturer)[T.JAGUAR],-3026.1763129660926
C(Manufacturer)[T.JEEP],11847.564822246088
C(Manufacturer)[T.KIA],6838.65421385805
C(Manufacturer)[T.LANCIA],11510.564247748534
C(Manufacturer)[T.LAND ROVER],33664.16972781037
C(Manufacturer)[T.LEXUS],8589.898747678337
C(Manufacturer)[T.LINCOLN],16439.94995496273
C(Manufacturer)[T.MAZDA],7827.456705915571
C(Manufacturer)[T.MERCEDES-BENZ],15019.274791138885
C(Manufacturer)[T.MINI],12910.483567351821
C(Manufacturer)[T.MITSUBISHI],11993.415614272584
C(Manufacturer)[T.NISSAN],3113.7203021641208
C(Manufacturer)[T.OPEL],14841.009148774101
C(Manufacturer)[T.PEUGEOT],7132.070243986903
C(Manufacturer)[T.PORSCHE],31255.942194147872
C(Manufacturer)[T.RENAULT],-4807.957891972113
C(Manufacturer)[T.SAAB],-3363.0179534667777
C(Manufacturer)[T.SCION],14531.883486598723
C(Manufacturer)[T.SKODA],12718.524283033947
C(Manufacturer)[T.SSANGYONG],17714.278734539832
C(Manufacturer)[T.SUBARU],4690.555360537082
C(Manufacturer)[T.SUZUKI],14249.543074248015
C(Manufacturer)[T.TOYOTA],14560.102515281327
C(Manufacturer)[T.UAZ],21837.195444296507
C(Manufacturer)[T.VAZ],24217.6768769611
C(Manufacturer)[T.VOLKSWAGEN],7228.484018718615
C(Manufacturer)[T.VOLVO],1794.73003462604
C(Category)[T.Coupe],-11782.920131903225
C(Category)[T.Goods wagon],-16113.083722280386
C(Category)[T.Hatchback],-9200.308980962
C(Category)[T.Jeep],-4259.190340874764
C(Category)[T.Microbus],-9469.848560657658
C(Category)[T.Minivan],-7238.247533729586
C(Category)[T.Pickup],-4114.04008485594
C(Category)[T.Sedan],-10946.221127772958
C(Category)[T.Universal],-2228.8215549738516
C(Fuel_type)[T.Diesel],-2650.4660831640963
C(Fuel_type)[T.Hybrid],-9712.146050799347
C(Fuel_type)[T.LPG],-9615.851091624421
C(Fuel_type)[T.Petrol],-4242.128123424585
C(Fuel_type)[T.Plug-in Hybrid],4409.348459304857
C(HasTurbo)[T.1],9517.34102366603
C(Gear_box_type)[T.Manual],6720.9148671395105
C(Gear_box_type)[T.Tiptronic],10995.46923565202
C(Gear_box_type)[T.Variator],7545.00071489821
C(Drive_wheels)[T.Front],3588.797955803131
C(Drive_wheels)[T.Rear],2747.306451031084
Prod_year,1512.949187331963
Engine_Volume,1700.5103977721042
Cylinders,1296.979023601681
Airbags,-877.8788619685631
