,0
Intercept,-2999863.3499653535
C(Manufacturer)[T.AUDI],3045.043249616226
C(Manufacturer)[T.BMW],12243.779348602475
C(Manufacturer)[T.BUICK],-287.85948849754277
C(Manufacturer)[T.CADILLAC],7504.80580958031
C(Manufacturer)[T.CHEVROLET],5283.606905765337
C(Manufacturer)[T.CHRYSLER],13145.859418686983
C(Manufacturer)[T.CITROEN],5643.932424271021
C(Manufacturer)[T.DAEWOO],6825.440509909078
C(Manufacturer)[T.DAIHATSU],-1619.0506464964633
C(Manufacturer)[T.DODGE],2798.0141843189613
C(Manufacturer)[T.FIAT],4265.5174531387
C(Manufacturer)[T.FORD],13018.163065812307
C(Manufacturer)[T.GAZ],127360.91126341486
C(Manufacturer)[T.GMC],6395.654988730283
C(Manufacturer)[T.HONDA],10320.776066227725
C(Manufacturer)[T.HUMMER],-436.3650961232879
C(Manufacturer)[T.HYUNDAI],14349.266401983583
C(Manufacturer)[T.INFINITI],13849.53594444562
C(Manufacturer)[T.JAGUAR],-3154.828063115402
C(Manufacturer)[T.JEEP],11983.284029096994
C(Manufacturer)[T.KIA],6283.682582037692
C(Manufacturer)[T.LANCIA],8952.538945613629
C(Manufacturer)[T.LAND ROVER],32563.354949280576
C(Manufacturer)[T.LEXUS],8761.023172797099
C(Manufacturer)[T.LINCOLN],16529.414910361214
C(Manufacturer)[T.MAZDA],7736.709637949907
C(Manufacturer)[T.MERCEDES-BENZ],14487.069471004057
C(Manufacturer)[T.MINI],12128.013802944828
C(Manufacturer)[T.MITSUBISHI],11329.749321795454
C(Manufacturer)[T.NISSAN],2151.168209932136
C(Manufacturer)[T.OPEL],14013.985682991835
C(Manufacturer)[T.PEUGEOT],6452.048911723786
C(Manufacturer)[T.PORSCHE],31222.66404992096
C(Manufacturer)[T.RENAULT],-6033.322054022154
C(Manufacturer)[T.SAAB],-3037.4410303448167
C(Manufacturer)[T.SCION],14392.057165682463
C(Manufacturer)[T.SKODA],12049.268925616092
C(Manufacturer)[T.SSANGYONG],16724.820688953634
C(Manufacturer)[T.SUBARU],4186.360906817987
C(Manufacturer)[T.SUZUKI],12956.884279349653
C(Manufacturer)[T.TOYOTA],14118.42173585208
C(Manufacturer)[T.UAZ],21900.427200184466
C(Manufacturer)[T.VAZ],22298.558751263736
C(Manufacturer)[T.VOLKSWAGEN],6518.21575592442
C(Manufacturer)[T.VOLVO],1296.842228370816
C(Category)[T.Coupe],-12582.186675201308
C(Category)[T.Goods wagon],-16715.386688387054
C(Category)[T.Hatchback],-10410.924653780487
C(Category)[T.Jeep],-5060.528526659431
C(Category)[T.Microbus],-9873.830157469956
C(Category)[T.Minivan],-7420.168545046212
C(Category)[T.Pickup],-3599.645080467336
C(Category)[T.Sedan],-11724.643002497443
C(Category)[T.Universal],-2692.2701484509394
C(Fuel_type)[T.Diesel],-2613.239421145119
C(Fuel_type)[T.Hybrid],-10158.379393758547
C(Fuel_type)[T.LPG],-9654.47488179278
C(Fuel_type)[T.Petrol],-4401.2664263607
C(Fuel_type)[T.Plug-in Hybrid],3806.558864492171
C(HasTurbo)[T.1],9224.09187891105
C(Gear_box_type)[T.Manual],6084.520066162039
C(Gear_box_type)[T.Tiptronic],10929.836405056758
C(Gear_box_type)[T.Variator],7578.47166001442
C(Drive_wheels)[T.Front],3099.2452129803414
C(Drive_wheels)[T.Rear],2470.2019941975814
C(Wheel)[T.Right-hand drive],-1087.654330750811
Prod_year,1497.0238038164161
Cylinders,2033.03430424692
Airbags,-852.3102749702805
