,Price,Manufacturer,Prod_year,Category,Leather_interior,Fuel_type,Engine_Volume,HasTurbo,Mileage,Cylinders,Gear_box_type,Drive_wheels,Doors,Wheel,Color,Airbags,aic_resid,bic_resid,r2a_resid,press_resid,cv_resid
736,27284,CHEVROLET,2014,Hatchback,No,Plug-in Hybrid,1.4,0,65000,4.0,Automatic,Front,4,Left wheel,Silver,10,10702.32854160848,8407.671836227626,10702.32854160848,19678.619194686413,10753.888282349024
8674,10349,MERCEDES-BENZ,1997,Microbus,Yes,Diesel,2.9,1,3333,6.0,Manual,Rear,2,Left wheel,Red,2,-9459.036284670114,-9190.921501521854,-9459.036284670114,-6573.879259613343,-9616.5853632301
5971,40769,MERCEDES-BENZ,1996,Sedan,No,Petrol,1.8,0,212485,8.0,Manual,Rear,4,Left wheel,Green,2,34335.891924049174,39717.4883635517,34335.891924049174,29027.36451225169,31097.30156124643
1957,38737,HYUNDAI,2014,Jeep,Yes,Diesel,2.0,0,132756,4.0,Automatic,Front,4,Left wheel,Grey,4,9135.565999453025,13253.682550704532,9135.565999453025,14982.714851525147,9096.769294825372
11075,42102,SSANGYONG,2017,Jeep,Yes,Petrol,1.6,0,50750,4.0,Automatic,Front,4,Left wheel,White,4,7678.12352004477,20166.462228632172,7678.12352004477,5951.647970342543,7383.170601621729
6134,42400,SSANGYONG,2016,Jeep,Yes,Diesel,1.6,0,57793,4.0,Automatic,Front,4,Left wheel,White,4,7897.410667116346,15342.146553418137,7897.410667116346,7766.749036453664,7390.167400222264
17847,18817,TOYOTA,2012,Sedan,No,LPG,1.8,0,127000,4.0,Automatic,Front,4,Left wheel,White,6,8588.455075443731,8195.954324814717,8588.455075443731,4902.587321530096,7811.6320550158125
5118,12858,BMW,2011,Hatchback,Yes,Petrol,4.4,0,110000,4.0,Automatic,Rear,4,Left wheel,Black,12,165.84948631453153,-2141.3232422910496,165.84948631453153,3353.438012931496,4400.276310537691
200,10820,TOYOTA,2001,Jeep,No,Petrol,2.0,0,91000,4.0,Automatic,4x4,2,Right-hand drive,Silver,4,6666.080533308747,9548.472087648595,6666.080533308747,12951.941572930198,6846.849959517351
2298,15367,VOLVO,2010,Coupe,Yes,Petrol,2.5,1,160000,5.0,Manual,Front,2,Left wheel,Black,6,-2332.8902261543262,-10849.113633156812,-2332.8902261543262,-2448.363694352098,-1560.0518619186332
18766,627,BMW,2011,Jeep,Yes,Diesel,3.0,0,282280,6.0,Automatic,4x4,4,Left wheel,White,0,-26598.414576946972,-27058.411813714032,-26598.414576946972,-23202.362474801484,-26792.73673573877
18507,16935,LEXUS,2015,Hatchback,Yes,Hybrid,1.8,0,94949,4.0,Automatic,Front,4,Left wheel,White,0,1220.9209216029976,-2358.6123767541103,1220.9209216029976,-4300.093436186202,872.2837200489485
