,0
Intercept,-3048711.256165825
C(Manufacturer)[T.AUDI],-3016.432432079371
C(Manufacturer)[T.BMW],8802.297326694736
C(Manufacturer)[T.BUICK],-261.20997145908404
C(Manufacturer)[T.CADILLAC],2329.692673574123
C(Manufacturer)[T.CHEVROLET],3013.8903065561317
C(Manufacturer)[T.CHRYSLER],9253.226017634752
C(Manufacturer)[T.CITROEN],1661.6705484022232
C(Manufacturer)[T.DAEWOO],3090.1256558158943
C(Manufacturer)[T.DAIHATSU],2528.3704743244616
C(Manufacturer)[T.DODGE],1138.8521607661628
C(Manufacturer)[T.FIAT],-185.9085386605566
C(Manufacturer)[T.FORD],8041.370485288115
C(Manufacturer)[T.GAZ],121812.54845988765
C(Manufacturer)[T.GMC],493.23000907232245
C(Manufacturer)[T.HONDA],6071.673920819841
C(Manufacturer)[T.HUMMER],-2012.0876131927325
C(Manufacturer)[T.HYUNDAI],12601.388665978018
C(Manufacturer)[T.INFINITI],9350.454494219584
C(Manufacturer)[T.JAGUAR],-8751.005441693362
C(Manufacturer)[T.JEEP],12489.112979922651
C(Manufacturer)[T.KIA],2342.367239033538
C(Manufacturer)[T.LANCIA],12137.34560788598
C(Manufacturer)[T.LAND ROVER],32010.47368487218
C(Manufacturer)[T.LEXUS],4421.353886645525
C(Manufacturer)[T.LINCOLN],17024.126593218378
C(Manufacturer)[T.MAZDA],6847.8044200965705
C(Manufacturer)[T.MERCEDES-BENZ],11167.138598735826
C(Manufacturer)[T.MINI],10011.281506475383
C(Manufacturer)[T.MITSUBISHI],11245.781704340083
C(Manufacturer)[T.NISSAN],540.4496023977579
C(Manufacturer)[T.OPEL],10337.326600304608
C(Manufacturer)[T.PEUGEOT],6953.318639519599
C(Manufacturer)[T.PORSCHE],28713.272203843204
C(Manufacturer)[T.RENAULT],-6773.039856637313
C(Manufacturer)[T.SAAB],-9087.194749826887
C(Manufacturer)[T.SCION],5510.07007838839
C(Manufacturer)[T.SKODA],7851.775758526073
C(Manufacturer)[T.SSANGYONG],20273.288695231953
C(Manufacturer)[T.SUBARU],1126.8179449247896
C(Manufacturer)[T.SUZUKI],11935.251719935657
C(Manufacturer)[T.TOYOTA],8091.427812410622
C(Manufacturer)[T.UAZ],19367.76140692535
C(Manufacturer)[T.VAZ],17929.041302682206
C(Manufacturer)[T.VOLKSWAGEN],2866.9945572143592
C(Manufacturer)[T.VOLVO],-6142.131001165105
C(Leather_interior)[T.Yes],483.1339641432588
C(HasTurbo)[T.1],10006.460567084077
C(Gear_box_type)[T.Manual],6925.77697339085
C(Gear_box_type)[T.Tiptronic],10458.154471636932
C(Gear_box_type)[T.Variator],6773.562199673735
C(Doors)[T.4],257.08889173053944
C(Doors)[T.>5],5132.477865041274
C(Wheel)[T.Right-hand drive],-791.7746539296184
C(Color)[T.Black],1132.2293370795442
C(Color)[T.Blue],-2349.0300722616
C(Color)[T.Brown],2351.808336435257
C(Color)[T.Carnelian red],4182.340172966721
C(Color)[T.Golden],1733.7063807361633
C(Color)[T.Green],-1172.321046227366
C(Color)[T.Grey],-910.1987338035484
C(Color)[T.Orange],-12610.038536636188
C(Color)[T.Pink],2073.413464165576
C(Color)[T.Purple],-11085.093828647841
C(Color)[T.Red],-3458.954116959331
C(Color)[T.Silver],-1032.1532323947351
C(Color)[T.Sky blue],-1408.9300616061487
C(Color)[T.White],-737.335080207874
C(Color)[T.Yellow],392.2409656756445
Prod_year,1517.1010661110065
Cylinders,2140.864931505273
Airbags,-992.7195868341729
