,0
736,10702.32854160848
8674,-9459.036284670114
5971,34335.891924049174
1957,9135.565999453025
11075,7678.12352004477
6134,7897.410667116346
17847,8588.455075443731
5118,165.84948631453153
200,6666.080533308747
2298,-2332.8902261543262
18766,-26598.414576946972
18507,1220.9209216029976
5954,-17465.5235082446
16454,-20603.795848734124
11020,23889.411264615712
8359,9484.076641012198
14976,1768.385825880483
3014,2357.0678174351124
10978,-21969.898343008063
15571,9845.115971894535
18912,5009.05727727637
16453,-184.89361139250468
17306,-1459.2880268518802
4577,1461.323382409846
11153,-8911.586438551083
8165,6900.150989248104
3077,-27969.864523560307
8178,-4457.011764727193
12093,-11861.855135086284
19097,-24244.290211299092
3200,-5776.882393146258
15191,3294.259735048301
7074,558.2086360507592
115,-11232.067503379003
484,6674.5137983884815
6369,13458.983484303782
18884,5082.337511928097
5207,7155.881185990333
936,-4276.912764039962
1261,26477.34417752262
17139,-9698.40281205334
8085,3085.2549375171375
12959,-7131.289967040917
1147,5342.41136031593
12268,-1126.529167474353
10049,-3293.916579852379
13190,9888.296311649392
8239,-11145.672426167515
7716,4523.698813282732
385,2055.6283110176164
12572,9190.87258655415
5843,6123.799543744115
5734,-13877.09058366995
960,-8043.967392520415
7983,8865.085109639855
1599,8199.302523013534
13846,13019.814849326911
8180,-9240.016961564419
3242,-4666.213075696676
11723,-1455.9773872234327
13798,-1882.3481891395368
10342,-17688.96482978642
1321,-20706.285736784197
15443,29576.416452557718
6760,4641.33346110307
2495,-21783.169626677703
2393,-18289.55783963578
12454,16102.616812121061
4600,-8898.835257250354
9438,2339.3627487808735
8008,12569.565999453025
8440,12707.770408959195
9066,-5643.7919860564325
10168,-6760.096346280902
9814,12151.06024695066
5916,-5396.119830524531
18548,2591.8538059517923
11608,-5204.7667167981745
11662,4794.869059653566
6788,23985.003689290956
16218,-19666.691160306742
6962,-6322.749824847146
13027,20852.83102868909
344,4948.462985720445
13106,-15236.166830937535
11897,-10762.212826687177
9626,8503.475820413954
11176,451.367993421798
5170,-9905.405633880451
8496,6418.6999303371595
13062,-10724.04712337708
5826,-13195.978383334354
6020,5630.613676397723
13735,1211.3714178435584
14104,-13111.51506424454
3011,-2994.3323752109027
17836,2722.310547716337
18890,8846.774374047
5272,-14531.336177017605
18653,7019.412173052409
4884,9335.043640002004
16978,2370.7503556918336
8957,38278.4764917554
17403,4638.707398142136
11436,30561.68252980173
5620,-2919.3340720106144
16735,11374.155695339468
1962,-10070.03674612609
11603,-12740.112443038652
13246,-1778.4352840040592
3999,2980.23074960805
16543,14674.485248458941
11235,-9302.506572749393
17576,-6522.637195851952
16126,29593.543536551817
8103,-6438.123415700196
18716,-4060.2929098906316
14838,-16973.89173572982
438,3421.8053927376786
14439,-4345.0182051884585
5503,-4231.9332058142945
4226,-2855.6285821564416
15141,-8408.730862654616
17141,50827.52475802995
18623,10957.072707376734
10369,-15184.403353807975
9675,-11804.91432126101
11149,-6312.958895091222
7752,8822.826724675344
17309,5086.173065447545
